Departamento  de la Institución;Provincias dela República  de Panamá;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Económico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;Año Cierre de Queja;Año Recibido de Queja
Decisión;Panamá;Ley 45 de 2007;11-feb-2025;Feb 25;Incumplimiento de garantía;PREMIER;Electrodomésticos/equipos electrónicos;Premier;Refrigeradora;500.00;Desistimiento;;19-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;25-feb-2025;Feb 25;Falta de información;INSTITUTO BILINGÜE INTERNATIONAL DE PANAMA;Escuelas / colegio;No se Registro;No se Registro;2,337.25;Desistimiento/Devolución;2,337.25;24-mar-2025;Mar 25;2025;2025
Decisión;Bocas del Toro;Ley 45 de 2007;28-feb-2025;Feb 25;Incumplimiento de contrato;COMERCIALES BOCAS;Mueblería/equipo electrónico;No se Registro;Colchón;160.00;Desistimiento;;22-abr-2025;Abr 25;2025;2025
Decisión;Coclé;Ley 45 de 2007;03-feb-2025;Feb 25;Resolución de contrato;ARENAS TRAVEL CLUB;Hoteles o planes vacacionales;No se Registro;No se Registro;2,691.21;Acuerdo en audiencia/Devolución de dinero;2,091.00;18-nov-2025;Nov 25;2025;2025
Decisión;Coclé;Ley 45 de 2007;21-feb-2025;Feb 25;Incumplimiento de garantía;SUPERCENTRO EL FUERTE (TAMEK, S.A.);Almacén por departamentos;Premier;No se Registro;203.30;Desistimiento;;06-ago-2025;Ago 25;2025;2025
Decisión;Coclé;Ley 45 de 2007;21-feb-2025;Feb 25;Incumplimiento de garantía;COCHEZ, S.A.;Almacén por departamentos;Aiwa;Aire acondicionado;239.66;En proceso;;;;;2025
Decisión;Coclé;Ley 45 de 2007;21-feb-2025;Feb 25;Incumplimiento de garantía;RODELAG;Electrodomésticos/equipos electrónicos;Epson;Impresora;196.86;Acuerdo/Devolución;196.86;05-sep-2025;Sep 25;2025;2025
Decisión;Colón;Ley 45 de 2007;03-feb-2025;Feb 25;Incumplimiento de garantía;COCHEZ, S.A.;Ferreterías, materiales de construccion o similares;No se Registro;Hidrolavadora;272.85;Desistimiento;;06-nov-2025;Nov 25;2025;2025
Decisión;Colón;Ley 45 de 2007;07-feb-2025;Feb 25;Incumplimiento de garantía;PANAFOTO;Almacén por departamentos;TTC;Televisor;310.30;En proceso;;;;;2025
Decisión;Colón;Ley 45 de 2007;17-feb-2025;Feb 25;Incumplimiento de garantía;SUPER MAGIC AUDIO & MUEBLES;Almacén por departamentos;No se Registro;Extractor de grasa;149.00;Acuerdo/Reemplazo;;06-nov-2025;Nov 25;2025;2025
Decisión;Colón;Ley 45 de 2007;17-feb-2025;Feb 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Tv por cable;No se Registro;No se Registro;22.20;En proceso;;;;;2025
Decisión;Colón;Ley 45 de 2007;17-feb-2025;Feb 25;Incumplimiento de garantía;MVP MULTIVENEPANA;Servicios de instalación;LG;Refrigeradora;42.80;En proceso;;;;;2025
Decisión;Colón;Ley 45 de 2007;17-feb-2025;Feb 25;Incumplimiento de garantía;RODELAG;Almacén por departamentos;Sankey;Refrigeradora;684.79;Desistimiento;;21-jul-2025;Jul 25;2025;2025
Decisión;Colón;Ley 45 de 2007;21-feb-2025;Feb 25;Incumplimiento de garantía;DIGITAL AUDIO Y MUEBLES;Almacén por departamentos;No se Registro;Juego de sala;321.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;03-feb-2025;Feb 25;Devolución de dinero;PROMOTORA ALTA VISTA, S.A;Inmobiliarias;No se Registro;No se Registro;1,244.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;07-feb-2025;Feb 25;Incumplimiento de garantía;BELLA VISTA PROMOCIONES INMOBILIARIAS, S.A.;Inmobiliarias;No se Registro;No se Registro;1,200.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;07-feb-2025;Feb 25;Devolución de dinero;FISIOFIT;Centros de estéticas;No se Registro;No se Registro;1,182.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;13-feb-2025;Feb 25;Incumplimiento de contrato;CENTRO SUPERIOR CULTURAL Y TURISMO;Universidad;No se Registro;No se Registro;600.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;13-feb-2025;Feb 25;Incumplimiento de contrato;CENTRO SUPERIOR CULTURAL Y TURISMO;Universidad;No se Registro;No se Registro;600.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;13-feb-2025;Feb 25;Resolución de contrato;SMARFIT;Gimnasio y centros deportivos;No se Registro;No se Registro;13.90;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;14-feb-2025;Feb 25;Resolución de contrato;INMOBILIARIA GRUPO OH, S.A.;Inmobiliarias;No se Registro;Vivienda;2,348.00;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;12-feb-2025;Feb 25;Incumplimiento de garantía;LABORATORIOS OPTICOS CHIRICANOS, S.A.;Opticas;No se Registro;No se Registro;90.95;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;17-feb-2025;Feb 25;Incumplimiento de garantía;COMPUNET PANAMA;Celulares;HP;Computadora;399.95;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;18-feb-2025;Feb 25;Incumplimiento de garantía;TIGO PANAMÁ;Telefonia;Iphone;Celular;1,471.20;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;25-feb-2025;Feb 25;Incumplimiento de garantía;NEW TECNO MOVIL & ACCES;Celulares;HP;Computadora;449.95;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;25-feb-2025;Feb 25;Incumplimiento de garantía;GOLDEN MALL;Almacén por departamentos;Sankey;Refrigeradora;583.43;En proceso;;;;;2025
Decisión;Chiriquí;Ley 45 de 2007;28-feb-2025;Feb 25;Incumplimiento de garantía;TECHNO PHONE;Celulares;Iphone;Celular;690.00;En proceso;;;;;2025
Vehículo a Motor;Herrera;Ley 14 de 2018;24-feb-2025;Feb 25;Daños y perjuicios;AUTO REPUESTOS CHONG;Repuestos para autos;Chevrolet;Automóvil;1,697.05;En proceso;;;;;2025
Decisión;Herrera;Ley 45 de 2007;05-feb-2025;Feb 25;Incumplimiento de garantía;GRUPO MEGA HOLDING CORP.;Mueblerías;No se Registro;No se Registro;599.15;Desistimiento/Devolución;599.15;24-sep-2025;Sep 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;05-feb-2025;Feb 25;Incumplimiento de garantía;H&H HOME;Mueblerías;No se Registro;No se Registro;465.00;En proceso;;;;;2025
Decisión;Herrera;Ley 45 de 2007;07-feb-2025;Feb 25;Devolución de dinero;RELOJIN;Joyería/Relojerías;No se Registro;No se Registro;186.46;Acuerdo en audiencia/Reparación;;11-jun-2025;Jun 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;07-feb-2025;Feb 25;Falta de información;TITAN PANAMÁ;Mueblería/equipo electrónico;No se Registro;No se Registro;926.79;Desistimiento;;08-ago-2025;Ago 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;10-feb-2025;Feb 25;Rescindir contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;23.95;Desistimiento;;24-sep-2025;Sep 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;12-feb-2025;Feb 25;Rescindir contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;25.00;Desistimiento;;24-sep-2025;Sep 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;26-feb-2025;Feb 25;Falta de información;RODELAG;Electrodomésticos/equipos electrónicos;Sankey;Aire acondicionado;288.88;Desistimiento;;24-sep-2025;Sep 25;2025;2025
Decisión;Herrera;Ley 45 de 2007;28-feb-2025;Feb 25;Cobro indebido;Clinica Hospital Dr. Venancio Villarreal;Clínicas/ Hospitales;No se Registro;No se Registro;2,710.95;Desistimiento;;16-oct-2025;Oct 25;2025;2025
Decisión;Los Santos;Ley 45 de 2007;24-feb-2025;Feb 25;Falta de información;ZONATEC;Almacén de bicicleta;No se Registro;Bicicleta;427.99;Desistimiento;;06-ago-2025;Ago 25;2025;2025
Decisión;Los Santos;Ley 45 de 2007;25-feb-2025;Feb 25;Rescindir contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;240.00;Desistimiento;;13-jun-2025;Jun 25;2025;2025
Vehículo a Motor;Veraguas;Ley 14 de 2018;11-feb-2025;Feb 25;Custodia de bien;JSDESIGN507;Servicios de instalación;KIA;Pieza de Repuesto;432.54;En proceso;;;;;2025
Vehículo a Motor;Veraguas;Ley 14 de 2018;13-feb-2025;Feb 25;Devolución de dinero;GEO MOTOR;Agencia de autos;Chevrolet;Motor de Auto;523.72;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;06-feb-2025;Feb 25;Devolución de dinero;MAYLIN SPORT;Almacén por departamentos;No se Registro;No se Registro;126.50;Acuerdo en audiencia/Varios;;05-jun-2025;Jun 25;2025;2025
Decisión;Veraguas;Ley 45 de 2007;07-feb-2025;Feb 25;Incumplimiento de garantía;PANAFOTO;Almacén por departamentos;No se Registro;Scooter;363.80;En proceso;;;;;2025
Decisión;Veraguas;Ley 45 de 2007;12-feb-2025;Feb 25;Incumplimiento de garantía;CELL & ELECTRONIC;Electrodomésticos/equipos electrónicos;No se Registro;No se Registro;1,850.00;Acuerdo en audiencia/Entrega del bien;;27-jun-2025;Jun 25;2025;2025
Decisión;Veraguas;Ley 45 de 2007;24-feb-2025;Feb 25;Resolución de contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;28.35;Desistimiento;;10-jul-2025;Jul 25;2025;2025
Decisión;Veraguas;Ley 45 de 2007;25-feb-2025;Feb 25;Incumplimiento de garantía;EL PUNTO MAYORISTA;Almacén por departamentos;Sankey;Televisor;160.49;Desistimiento/Devolución;160.49;05-jun-2025;Jun 25;2025;2025
Vehículo a Motor;Pmá Oeste;Ley 14 de 2018;14-feb-2025;Feb 25;Incumplimiento de garantía;COPAMA EMPRESAS MELO, S.A.;Agencia de autos;No se Registro;Automóvil;15,900.00;En proceso;;;;;2025
Vehículo a Motor;Pmá Oeste;Ley 14 de 2018;24-feb-2025;Feb 25;Incumplimiento de garantía;PETROAUTOS, S.A.;Agencia de autos;Hyundai;Automóvil;18,998.99;Acuerdo en audiencia/Reparación;;27-nov-2025;Nov 25;2025;2025
Vehículo a Motor;Pmá Oeste;Ley 14 de 2018;26-feb-2025;Feb 25;Incumplimiento de servicio;SPEED CAR SERVICES;Taller de reparación de autos;No se Registro;No se Registro;329.91;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;03-feb-2025;Feb 25;Incumplimiento de garantía;KEUTESH;Joyería/Relojerías;No se Registro;No se Registro;464.24;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;03-feb-2025;Feb 25;Incumplimiento de garantía;KEUTESH;Joyería/Relojerías;No se Registro;No se Registro;507.71;En proceso;;;;;2025
Decisión;Pmá Oeste;Ley 45 de 2007;18-feb-2025;Feb 25;Incumplimiento de garantía;SERVICIO TECNICO LOS NARANJOS;Electrodomésticos/equipos electrónicos;No se Registro;Lavadora;300.00;Acuerdo en audiencia/Devolución de dinero;300.00;18-jun-2025;Jun 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;20-feb-2025;Feb 25;Resolución de contrato;TU BIENESTAR COMPANY, S.A.;Funerarias;No se Registro;No se Registro;12.00;Desistimiento;;19-jun-2025;Jun 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;20-feb-2025;Feb 25;Resolución de contrato;TU BIENESTAR COMPANY, S.A.;Funerarias;No se Registro;No se Registro;15.00;Desistimiento;;18-jun-2025;Jun 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;20-feb-2025;Feb 25;Resolución de contrato;TU BIENESTAR COMPANY, S.A.;Funerarias;No se Registro;No se Registro;15.00;Desistimiento;;19-jun-2025;Jun 25;2025;2025
Decisión;Pmá Oeste;Ley 45 de 2007;26-feb-2025;Feb 25;Incumplimiento de garantía;EBEN EZER;Electrodomésticos/equipos electrónicos;No se Registro;Lavadora;360.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-mar-2025;Mar 25;Custodia de bien;REPUESTOS TOYOPANA, S.A.;Taller de reparación de autos;Ford;Automóvil;4,119.50;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-mar-2025;Mar 25;Custodia de bien;AUTO AIRE POLAR PTY;Taller de reparación de autos;Suzuki;Automóvil;834.22;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-mar-2025;Mar 25;Falta de información;FT SERVICES;Venta de autos usados;Hyundai;Automóvil;3,093.39;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;06-mar-2025;Mar 25;Incumplimiento de garantía;CAR POINT, S.A.;Venta de autos usados;Chevrolet;Automóvil;7,000.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-mar-2025;Mar 25;Vicio oculto;PETROAUTOS, S.A.;Agencia de autos;Hyundai;Automóvil;13,675.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-mar-2025;Mar 25;Incumplimiento de garantía;RICARDO PEREZ, S.A.;Agencia de autos;Toyota;Automóvil;28,500.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-mar-2025;Mar 25;Incumplimiento de garantía;AUTOS PLATINIUM;Venta de autos usados;Nissan;Automóvil;10,990.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;07-mar-2025;Mar 25;Incumplimiento de servicio;COMPAÑÍA GENERAL DE TRANSPORTE (CGT), S.A.;Taller de reparación de autos;Peugeot;Automóvil;600.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;10-mar-2025;Mar 25;Incumplimiento de garantía;RICARDO PEREZ, S.A.;Agencia de autos;Toyota;Automóvil;25,495.00;Acuerdo en audiencia/Varios;;07-jul-2025;Jul 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;11-mar-2025;Mar 25;Incumplimiento de servicio;PUMA;Estaciones de gasolinas;Hyundai;Automóvil;254.84;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;11-mar-2025;Mar 25;Falta de información;CAR POINT, S.A.;Venta de autos usados;KIA;Automóvil;36.20;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;11-mar-2025;Mar 25;Incumplimiento de garantía;MILLENNIUM CAR SALES, S.A.;Venta de autos usados;Toyota;Automóvil;26,700.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;12-mar-2025;Mar 25;Incumplimiento de servicio;AUTO AIRE POLAR PTY;Taller de reparación de autos;Hyundai;Automóvil;250.50;Desistimiento;;07-jul-2025;Jul 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;12-mar-2025;Mar 25;Incumplimiento de garantía;COMPRA Y VENDE YA;Venta de autos usados;Toyota;Automóvil;884.00;Desistimiento;;16-jul-2025;Jul 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;13-mar-2025;Mar 25;Incumplimiento de garantía;MOVINSA;Agencia de motos;No se Registro;Moto;3,499.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;14-mar-2025;Mar 25;Falta de información;GRUPO B SARA S.A.;Venta de autos usados;No se Registro;Automóvil;500.00;Desistimiento;;17-jun-2025;Jun 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;17-mar-2025;Mar 25;Falta de información;ARRENDAMIENTOS DE AUTOS ECONOMICOS DE PANAMA S.A.;Alquiler de autos;No se Registro;Automóvil;286.50;Desistimiento;;02-sep-2025;Sep 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;17-mar-2025;Mar 25;Incumplimiento de garantía;PETROAUTOS, S.A.;Agencia de autos;Jetour;Automóvil;23,256.60;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;17-mar-2025;Mar 25;Incumplimiento de garantía;GLOBAL CAR CENTER;Venta de autos usados;Hyundai;Automóvil;5,243.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;18-mar-2025;Mar 25;Incumplimiento de servicio;TECNOSERVICIOS HIDROMÁTICOS PTY;Taller de reparación de autos;Volkswagen;Automóvil;4,526.10;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;19-mar-2025;Mar 25;Incumplimiento de garantía;DISTRIBUIDORA DE MOTORES, S.A.;Venta de autos usados;Honda;Automóvil;3,700.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;20-mar-2025;Mar 25;Incumplimiento de garantía;DISTRIBUIDORA SUMMAX MOTOS;Agencia de motos;No se Registro;Moto;1,289.81;Pendiente constancia desistimiento;;08-jul-2025;Jul 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;20-mar-2025;Mar 25;Incumplimiento de garantía;AUTOS POPULAR, S.A.;Venta de autos usados;Nissan;Automóvil;4,000.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;21-mar-2025;Mar 25;Incumplimiento de garantía;PANAMOTOR;Agencia de autos;Nissan;Automóvil;21,075.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;21-mar-2025;Mar 25;Incumplimiento de garantía;MOTION MOTORS, S.A.;Agencia de autos;No se Registro;Automóvil;20,000.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;24-mar-2025;Mar 25;Incumplimiento de garantía;SERVICENTRO JLR;Repuestos para autos;Nissan;Automóvil;900.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;24-mar-2025;Mar 25;Incumplimiento de servicio;ESTACION TEXACO;Estaciones de gasolinas;Toyota;Automóvil;1,775.36;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;26-mar-2025;Mar 25;Falta de información;AIRE POLAR PANAMA;Taller de reparación de autos;Hyundai;Automóvil;133.75;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;28-mar-2025;Mar 25;Incumplimiento de garantía;CIRELLI CARS;Venta de autos usados;Ford;Automóvil;4,880.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;28-mar-2025;Mar 25;Incumplimiento de garantía;GRUPO Q INVESTMENTS, S.A.;Agencia de autos;Chevrolet;Automóvil;21,990.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;28-mar-2025;Mar 25;Incumplimiento de garantía;LEVEL UP 360. S.A.;Venta de autos usados;Honda;Automóvil;14,500.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;10-mar-2025;Mar 25;Incumplimiento de garantía;CITY MUEBLES;Mueblería/equipo electrónico;Whirlpool;Lavadora;345.00;Resolución/Reparar;;17-oct-2025;Oct 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;07-mar-2025;Mar 25;Falta de información;TITAN PANAMÁ;Almacén de ropa y calzados;No se Registro;No se Registro;587.42;Ordena corrección;;16-jun-2025;Jun 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;07-mar-2025;Mar 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Samsung;Estufa;791.80;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;10-mar-2025;Mar 25;Falta de información;TAPICERIA DON BOSCO;Repuestos y reparaciones (talleres varios no autos);No se Registro;No se Registro;890.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;11-mar-2025;Mar 25;Incumplimiento de servicio;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;1,338.00;Acuerdo/Devolución;642.00;03-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;12-mar-2025;Mar 25;Incumplimiento de garantía;BENSON ASSETS, S.A.;Inmobiliarias;No se Registro;No se Registro;1,427.40;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;10-mar-2025;Mar 25;Incumplimiento de garantía;TOP PHONE PTY;Celulares;No se Registro;No se Registro;140.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;10-mar-2025;Mar 25;Incumplimiento de garantía;BOCACY BLINDS;Decoración;No se Registro;No se Registro;281.90;Desistimiento/Devolución;281.90;02-may-2025;May 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;12-mar-2025;Mar 25;Falta de información;PGT LOGISTICS;Computadoras;No se Registro;Computadora;1,982.68;Pendiente constancia desistimiento;;28-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;19-mar-2025;Mar 25;Incumplimiento de servicio;MOVIMIENTO DEL TIEMPO, S.A.;Joyería/Relojerías;Bulova;Reloj;10.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;12-mar-2025;Mar 25;Incumplimiento de garantía;EL MACHETAZO;Supermercados;Premier;Estufa;171.14;Desistimiento/Devolución;171.14;01-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;12-mar-2025;Mar 25;Falta de información;TU BIENESTAR COMPANY, S.A.;Funerarias;No se Registro;No se Registro;24.00;Acuerdo en audiencia/Varios;;23-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;12-mar-2025;Mar 25;Falta de información;IBERIA PANAMÁ;Líneas aéreas;No se Registro;No se Registro;1,459.46;Resolución no acceder;;15-oct-2025;Oct 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;12-mar-2025;Mar 25;Falta de información;MUNDO DIGITAL INTL, S.A.;Repuestos y reparaciones (talleres varios no autos);No se Registro;No se Registro;152.16;Desistimiento/Devolución;235.43;22-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;12-mar-2025;Mar 25;Incumplimiento de garantía;FARMACIA ARROCHA;Farmacias;No se Registro;No se Registro;179.54;Acuerdo/Reemplazo;;14-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;12-mar-2025;Mar 25;Falta de información;QTARRAS TOURS S.A.;Agencias de viajes;No se Registro;No se Registro;1,295.46;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;20-mar-2025;Mar 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Telefonia;No se Registro;No se Registro;22.00;Acuerdo en audiencia/Varios;;22-may-2025;May 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-mar-2025;Mar 25;Incumplimiento de servicio;CENTRO FELINO;Clínicas/ Hospitales;No se Registro;No se Registro;666.71;Inhibe;;13-jun-2025;Jun 25;2025;2025
Veracidad;Panamá;Ley 45 de 2007;26-mar-2025;Mar 25;Veracidad de la publicidad;ESTILISTAS PTY GLAMOUR, S.A.;Salón de belleza;No se Registro;No se Registro;241.81;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;20-mar-2025;Mar 25;Incumplimiento de garantía;PHONE STORE PTY;Celulares;Iphone;Celular;1,647.70;Desistimiento/Devolución;1,647.70;27-may-2025;May 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-mar-2025;Mar 25;Vicio oculto;RODELAG;Electrodomésticos/equipos electrónicos;Hisense;Aire acondicionado;331.69;Transacción extrajudicial;;07-may-2025;May 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-mar-2025;Mar 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;LG;Refrigeradora;1,364.25;Resolución/Reemplazo;;19-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;19-mar-2025;Mar 25;Falta de información;LITTLE CAESARS PIZZA;Restaurantes / fondas;No se Registro;No se Registro;7.99;Pendiente constancia desistimiento;;16-jun-2025;Jun 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;19-mar-2025;Mar 25;Falta de información;INVERSIONES EL CREPÚSCULO, S.A.;Funerarias;No se Registro;No se Registro;31.00;Acuerdo en audiencia/Varios;;23-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;19-mar-2025;Mar 25;Falta de información;COPA AIRLINES;Líneas aéreas;No se Registro;No se Registro;185.55;Acuerdo/Devolución;185.55;01-jul-2025;Jul 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-mar-2025;Mar 25;Incumplimiento de servicio;TURPIAL AIRLINES, C.A;Líneas aéreas;No se Registro;No se Registro;763.73;Resoluciones/Varios;;23-oct-2025;Oct 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-mar-2025;Mar 25;Custodia de bien;SUPER KLIN DE SAN FRANCISCO;Lavanderías o lavamáticos;No se Registro;No se Registro;695.57;Resolución/Devolución;695.57;11-sep-2025;Sep 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;26-mar-2025;Mar 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;Hisense;Refrigeradora;588.50;Desistimiento/Devolución;558.50;05-may-2025;May 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-mar-2025;Mar 25;Incumplimiento de garantía;COMERCIALIZADORA PUSA, S.A.;Electrodomésticos/equipos electrónicos;Premier;Refrigeradora;374.49;Desistimiento/Devolución;374.49;24-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-mar-2025;Mar 25;Falta de información;LA ONDA;Almacén de ropa y calzados;No se Registro;Juego de terraza;106.99;Pendiente constancia desistimiento;;09-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;20-mar-2025;Mar 25;Falta de información;DO IT CENTER;Electrodomésticos/equipos electrónicos;No se Registro;Horno;294.88;Desistimiento;;26-mar-2025;Mar 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;26-mar-2025;Mar 25;Incumplimiento de servicio;CASA DE FUNERALES VIDA, S.A.;Funerarias;No se Registro;No se Registro;1,500.00;Desistimiento;;24-abr-2025;Abr 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;26-mar-2025;Mar 25;Incumplimiento de garantía;E-VISION,S.A.;Electrodomésticos/equipos electrónicos;Hisense;Televisor;749.00;Desistimiento;;12-may-2025;May 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;26-mar-2025;Mar 25;Falta de información;CLINICA DERMOESTETICA PUNTA PACIFICA;Clínicas/ Hospitales;No se Registro;No se Registro;68.00;Acuerdo/Devolución;68.00;07-may-2025;May 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;26-mar-2025;Mar 25;Falta de información;DECAMERON;Hoteles o planes vacacionales;No se Registro;No se Registro;517.14;Acuerdo en audiencia/Varios;;10-jun-2025;Jun 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;26-mar-2025;Mar 25;Incumplimiento de garantía;LA FAMILIA PAWN AND JEWELRY;Joyería/Relojerías;No se Registro;No se Registro;321.00;Resolución/Devolución;321.00;28-oct-2025;Oct 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;26-mar-2025;Mar 25;Falta de información;RODELAG;Electrodomésticos/equipos electrónicos;Panasonic;Aire acondicionado;1,872.00;Abandono;;05-ago-2025;Ago 25;2025;2025
