Departamento  de la Institución;Provincias dela República  de Panamá;Tipo de Ley;Fecha de Entrada de Queja;Mes de Entrada de Queja;Motivo de Queja;Agente Económico;Actividad;Marca de Producto;Producto;Velor de Apertura de Queja;Resultado de Queja;Efectivo Devuelto al Consumidor (B/.);Fecha de Cierre de Queja;Mes Cierre de Queja;Año Cierre de Queja;Año Recibido de Queja
Vehículo a Motor;Panamá;Ley 14 de 2018;22-ene-2025;Ene 25;Falta de información;I.G. CORPORATION RENT A CAR / INVERSIONES GUMOHI;Alquiler de autos;;Automóvil;84.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;10-ene-2025;Ene 25;Incumplimiento de servicio;TECNICOS EN PANAMÁ;Repuestos y reparaciones (talleres varios no autos);Frigidaire;Refrigeradora;240.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;10-ene-2025;Ene 25;Resolución de contrato;SKY PANAMÁ;Tv por cable;No se Registro;No se Registro;20.00;Acuerdo en audiencia/Varios;;12-mar-2025;Mar 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;22-ene-2025;Ene 25;Incumplimiento de garantía;TALLER CAR CARE;Taller de reparación de autos;BMW;Automóvil;2,472.35;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;10-ene-2025;Ene 25;Resolución de contrato;CABLE & WIRELESS PANAMÁ;Tv por cable;No se Registro;No se Registro;34.74;Acuerdo en audiencia/Varios;;01-dic-2025;Dic 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;24-ene-2025;Ene 25;Incumplimiento de garantía;PLATINIUM MOTORS;Venta de autos usados;Nissan;Automóvil;3,225.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;24-ene-2025;Ene 25;Incumplimiento de garantía;EMPRESAS MELO, S.A.;Agencia de autos;MG;Automóvil;25,900.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;10-ene-2025;Ene 25;Incumplimiento de garantía;PANAFOTO;Electrodomésticos/equipos electrónicos;LG;Televisor;588.44;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;10-ene-2025;Ene 25;Incumplimiento de garantía;DO IT CENTER;Almacén por departamentos;Westinghouse;No se Registro;149.79;Resolución/Reparar;;25-sep-2025;Sep 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;24-ene-2025;Ene 25;Incumplimiento de contrato;PANAMA CAR RENTAL, S.A.;Venta de autos usados;Toyota;Automóvil;22,798.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Incumplimiento de garantía;GEO.F. NOVEY INC.;Almacén por departamentos;Whirlpool;Lavadora;470.77;Desistimiento/Devolución;470.77;01-sep-2025;Sep 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;24-ene-2025;Ene 25;Incumplimiento de garantía;MULTISERVICIOS EMIL;Venta de autos usados;;Automóvil;6,200.00;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;28-ene-2025;Ene 25;Incumplimiento de garantía;GRUPO SILABA / GRUPO Q INVESTMENTS, S.A.;Agencia de autos;Chevrolet;Automóvil;22,500.00;Desistimiento;;09-jun-2025;Jun 25;2025;2025
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Incumplimiento de garantía;RODELAG;Almacén por departamentos;No se Registro;No se Registro;502.88;Desistimiento;;10-mar-2025;Mar 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;30-ene-2025;Ene 25;Incumplimiento de garantía;AUTOS GOLD;Venta de autos usados;Suzuki;Automóvil;4,500.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Incumplimiento de garantía;SHALOM, S.A.;Almacén por departamentos;Sankey;Televisor;180.89;Desistimiento;;31-ene-2025;Ene 25;2025;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;30-ene-2025;Ene 25;Incumplimiento de garantía;GRUPO COMERCIALES DIAZ, S.A.;Venta de autos usados;Honda;Automóvil;700.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;10-ene-2025;Ene 25;Incumplimiento de garantía;HS MOVILES;Celulares;Samsung;Celular;363.80;En proceso;;;;;2025
Vehículo a Motor;Panamá;Ley 14 de 2018;30-ene-2025;Ene 25;Incumplimiento de garantía;GRUPO AUTO COMERCIAL, S.A.;Agencia de autos;GAC;Automóvil;17,950.00;En proceso;;;;;2025
Decisión;Panamá;Ley 45 de 2007;14-ene-2025;Ene 25;Incumplimiento de garantía;TELCOMPANY, S.A.;Electrodomésticos/equipos electrónicos;Honor;Tablet;205.00;Resoluciones/Varios;;15-may-2025;May 25;2025;2025
